year,month,tmean
1911,Nov,-1.0806785821914673
1911,Dec,0.8126848340034485
1912,Jan,2.5911264419555664
1912,Feb,5.130489349365234
1912,Mar,7.417305946350098
1912,Apr,2.941938638687134
1912,May,1.5573781728744507
1912,Jun,-1.1761176586151123
1912,Jul,-1.412280559539795
1912,Aug,-0.05103039741516113
1912,Sep,0.5797909498214722
1912,Oct,2.309126377105713
1912,Nov,0.8240783214569092
1912,Dec,-1.602468490600586
1913,Jan,-7.241329193115234
1913,Feb,4.287773132324219
1913,Mar,1.3281009197235107
1913,Apr,-0.5817334055900574
1913,May,0.11654171347618103
1913,Jun,1.3928263187408447
1913,Jul,-0.2758385241031647
1913,Aug,-2.2112650871276855
1913,Sep,-2.775073289871216
1913,Oct,-2.184583902359009
1913,Nov,-0.25373801589012146
1913,Dec,1.211962342262268
1914,Jan,-0.7464858293533325
1914,Feb,1.2223258018493652
1914,Mar,-0.6162673830986023
1914,Apr,-0.3441535234451294
1914,May,-0.00555394496768713
1914,Jun,1.0968306064605713
1914,Jul,-2.3446571826934814
1914,Aug,0.09102021157741547
1914,Sep,-2.0550806522369385
1914,Oct,2.985703945159912
1914,Nov,-0.6733468770980835
1914,Dec,8.54039192199707
1915,Jan,2.8183422088623047
1915,Feb,1.4441324472427368
1915,Mar,3.307884454727173
1915,Apr,5.121225833892822
1915,May,2.4234941005706787
1915,Jun,1.397612452507019
1915,Jul,2.005953788757324
1915,Aug,0.3809793293476105
1915,Sep,-0.9913637042045593
1915,Oct,-3.1302425861358643
1915,Nov,-0.3491787314414978
1915,Dec,-0.780414879322052
1916,Jan,2.8956587314605713
1916,Feb,2.016433000564575
1916,Mar,-4.109626770019531
1916,Apr,3.7446389198303223
1916,May,1.8646339178085327
1916,Jun,1.2057639360427856
1916,Jul,-0.38908734917640686
1916,Aug,-1.5521081686019897
1916,Sep,0.5320687890052795
1916,Oct,2.9554603099823
1916,Nov,1.3950115442276
1916,Dec,-2.2356646060943604
1917,Jan,-3.1529531478881836
1917,Feb,5.909155368804932
1917,Mar,3.2768924236297607
1917,Apr,0.8135493993759155
1917,May,-1.679150104522705
1917,Jun,-2.2473442554473877
1917,Jul,-3.1862542629241943
1917,Aug,-1.09584641456604
1917,Sep,-0.047066580504179
1917,Oct,-0.8074522614479065
1917,Nov,-6.087121486663818
1917,Dec,-8.240537643432617
1918,Jan,-0.4957738220691681
1918,Feb,1.9633370637893677
1918,Mar,-1.5843113660812378
1918,Apr,-2.1928114891052246
1918,May,-1.7844899892807007
1918,Jun,-2.8137896060943604
1918,Jul,-1.3328098058700562
1918,Aug,-0.9012743830680847
1918,Sep,2.0131313800811768
1918,Oct,-1.0415974855422974
1918,Nov,-3.147489547729492
1918,Dec,-0.5324947834014893
1919,Jan,0.5020715594291687
1919,Feb,1.0635898113250732
1919,Mar,-3.112778902053833
1919,Apr,1.4996854066848755
1919,May,-0.35912686586380005
1919,Jun,-2.7368555068969727
1919,Jul,0.5741117596626282
1919,Aug,0.7997824549674988
1919,Sep,0.9706610441207886
1919,Oct,0.27025723457336426
1919,Nov,-2.457412004470825
1919,Dec,2.5138299465179443
1920,Jan,0.15888027846813202
1920,Feb,7.939642429351807
1920,Mar,-0.9435305595397949
1920,Apr,-2.875791549682617
1920,May,-1.6478420495986938
